step,KE,PE,total
264,1.96377e+06,-3.21931e+06,-1.25554e+06
265,1.95114e+06,-3.20582e+06,-1.25467e+06
266,1.94421e+06,-3.19618e+06,-1.25197e+06
267,1.94447e+06,-3.19608e+06,-1.25161e+06
268,1.93984e+06,-3.17288e+06,-1.23304e+06
269,1.91273e+06,-3.14874e+06,-1.23602e+06
270,1.89174e+06,-3.12658e+06,-1.23485e+06
271,1.87263e+06,-3.10716e+06,-1.23453e+06
272,1.86052e+06,-3.09498e+06,-1.23446e+06
273,1.85404e+06,-3.08926e+06,-1.23522e+06
274,1.84969e+06,-3.08464e+06,-1.23495e+06
275,1.84546e+06,-3.08128e+06,-1.23582e+06
276,1.84139e+06,-3.07223e+06,-1.23084e+06
277,1.83176e+06,-3.05701e+06,-1.22525e+06
278,1.81638e+06,-3.03332e+06,-1.21694e+06
279,1.8013e+06,-3.01886e+06,-1.21756e+06
280,1.80107e+06,-3.01889e+06,-1.21782e+06
281,1.79887e+06,-3.01822e+06,-1.21935e+06
282,1.79933e+06,-3.0174e+06,-1.21807e+06
283,1.79179e+06,-3.00567e+06,-1.21389e+06
284,1.77051e+06,-2.98441e+06,-1.2139e+06
285,1.75844e+06,-2.97307e+06,-1.21463e+06
286,1.75812e+06,-2.96796e+06,-1.20985e+06
287,1.75973e+06,-2.93803e+06,-1.1783e+06
288,1.74376e+06,-2.9216e+06,-1.17785e+06
289,1.73899e+06,-2.91685e+06,-1.17786e+06
290,1.72855e+06,-2.89544e+06,-1.16689e+06
291,1.70727e+06,-2.87541e+06,-1.16814e+06
292,1.69504e+06,-2.86609e+06,-1.17106e+06
293,1.68314e+06,-2.85139e+06,-1.16825e+06
294,1.67389e+06,-2.84207e+06,-1.16818e+06
295,1.6723e+06,-2.8412e+06,-1.1689e+06
296,1.67743e+06,-2.84566e+06,-1.16823e+06
297,1.67903e+06,-2.83524e+06,-1.15621e+06
298,1.6658e+06,-2.81841e+06,-1.15261e+06
299,1.65659e+06,-2.81026e+06,-1.15367e+06
300,1.65282e+06,-2.80336e+06,-1.15054e+06
301,1.64767e+06,-2.79992e+06,-1.15224e+06
302,1.64468e+06,-2.79613e+06,-1.15145e+06
303,1.64612e+06,-2.7956e+06,-1.14948e+06
304,1.64496e+06,-2.81595e+06,-1.17099e+06
305,1.65442e+06,-2.78829e+06,-1.13387e+06
306,1.64802e+06,-2.78534e+06,-1.13732e+06
307,1.64839e+06,-2.7847e+06,-1.13631e+06
308,1.64243e+06,-2.77958e+06,-1.13715e+06
309,1.62847e+06,-2.76349e+06,-1.13502e+06
310,1.61123e+06,-2.74568e+06,-1.13445e+06
311,1.60142e+06,-2.73591e+06,-1.13449e+06
312,1.59748e+06,-2.73253e+06,-1.13504e+06
313,1.59585e+06,-2.73096e+06,-1.13511e+06
314,1.59458e+06,-2.72954e+06,-1.13496e+06
315,1.59531e+06,-2.73011e+06,-1.1348e+06
316,1.59583e+06,-2.73208e+06,-1.13625e+06
317,1.59248e+06,-2.72746e+06,-1.13498e+06
318,1.58742e+06,-2.72183e+06,-1.13441e+06
319,1.58724e+06,-2.72136e+06,-1.13411e+06
320,1.59425e+06,-2.72859e+06,-1.13434e+06
321,1.60339e+06,-2.74016e+06,-1.13678e+06
322,1.60904e+06,-2.74153e+06,-1.13249e+06
323,1.61466e+06,-2.7473e+06,-1.13264e+06
324,1.64132e+06,-2.76962e+06,-1.1283e+06
325,1.66236e+06,-2.76372e+06,-1.10136e+06
326,1.63895e+06,-2.75048e+06,-1.11153e+06
327,1.61663e+06,-2.7279e+06,-1.11127e+06
328,1.60073e+06,-2.7126e+06,-1.11187e+06
329,1.58844e+06,-2.70003e+06,-1.11159e+06
330,1.57942e+06,-2.69098e+06,-1.11157e+06
331,1.5735e+06,-2.68489e+06,-1.11138e+06
332,1.57031e+06,-2.68233e+06,-1.11202e+06
333,1.56711e+06,-2.67823e+06,-1.11112e+06
334,1.56353e+06,-2.6746e+06,-1.11107e+06
335,1.56315e+06,-2.67414e+06,-1.111e+06
336,1.56603e+06,-2.6771e+06,-1.11107e+06
337,1.57064e+06,-2.68231e+06,-1.11167e+06
338,1.57507e+06,-2.6863e+06,-1.11123e+06
339,1.5813e+06,-2.6921e+06,-1.1108e+06
340,1.59415e+06,-2.70486e+06,-1.11071e+06
341,1.61041e+06,-2.72532e+06,-1.11491e+06
342,1.61861e+06,-2.71999e+06,-1.10138e+06
343,1.60974e+06,-2.71484e+06,-1.1051e+06
344,1.6033e+06,-2.7072e+06,-1.1039e+06
345,1.59591e+06,-2.69942e+06,-1.10352e+06
346,1.5941e+06,-2.69773e+06,-1.10362e+06
347,1.5877e+06,-2.68271e+06,-1.095e+06
348,1.57142e+06,-2.66721e+06,-1.09578e+06
349,1.56366e+06,-2.65932e+06,-1.09566e+06
350,1.56363e+06,-2.65897e+06,-1.09533e+06
351,1.56864e+06,-2.66729e+06,-1.09865e+06
352,1.57479e+06,-2.66436e+06,-1.08957e+06
353,1.57319e+06,-2.67961e+06,-1.10642e+06
354,1.58688e+06,-2.66119e+06,-1.07431e+06
355,1.58022e+06,-2.65642e+06,-1.07619e+06
356,1.57724e+06,-2.65269e+06,-1.07545e+06
357,1.57912e+06,-2.65522e+06,-1.0761e+06
358,1.58099e+06,-2.65795e+06,-1.07695e+06
359,1.58042e+06,-2.65701e+06,-1.07659e+06
360,1.57635e+06,-2.65314e+06,-1.07678e+06
361,1.56715e+06,-2.64445e+06,-1.0773e+06
362,1.55577e+06,-2.63152e+06,-1.07575e+06
363,1.54544e+06,-2.62134e+06,-1.0759e+06
364,1.53775e+06,-2.61366e+06,-1.07591e+06
365,1.53173e+06,-2.60741e+06,-1.07567e+06
366,1.52835e+06,-2.60395e+06,-1.0756e+06
367,1.52815e+06,-2.60379e+06,-1.07565e+06
368,1.53092e+06,-2.60661e+06,-1.07569e+06
369,1.53658e+06,-2.61236e+06,-1.07578e+06
370,1.54283e+06,-2.61971e+06,-1.07688e+06
371,1.54597e+06,-2.62195e+06,-1.07599e+06
372,1.54839e+06,-2.62409e+06,-1.0757e+06
373,1.54894e+06,-2.62663e+06,-1.07769e+06
374,1.54573e+06,-2.62179e+06,-1.07606e+06
