step,KE,PE,total
513,18352.8,-30049.5,-11696.7
514,18149.3,-29848.3,-11699
515,18015.3,-29715.9,-11700.6
516,17924.8,-29626.3,-11701.5
517,17863,-29565.1,-11702.1
518,17820.7,-29523.3,-11702.6
519,17791.4,-29494.3,-11702.9
520,17770.9,-29473.9,-11703
521,17756.4,-29459.5,-11703.2
522,17745.6,-29448.9,-11703.3
523,17737.3,-29440.5,-11703.2
524,17732,-29435.1,-11703.1
525,17731.1,-29434.1,-11703
526,17735.4,-29438.4,-11703
527,17744.6,-29447.7,-11703.1
528,17758.3,-29461.4,-11703.1
529,17775.8,-29478.9,-11703.2
530,17796.5,-29499.7,-11703.2
531,17820.1,-29523.4,-11703.2
532,17846.4,-29549.6,-11703.2
533,17875.2,-29578.5,-11703.2
534,17906.6,-29609.9,-11703.3
535,17940.5,-29643.8,-11703.3
536,17976.7,-29680,-11703.3
537,18014.6,-29718,-11703.4
538,18053.4,-29756.9,-11703.5
539,18092.2,-29795.8,-11703.6
540,18130.1,-29833.8,-11703.7
541,18166.4,-29870.1,-11703.7
542,18200.4,-29904.2,-11703.8
543,18231,-29934.9,-11703.9
544,18257.7,-29961.5,-11703.8
545,18281.9,-29985.5,-11703.6
546,18305.1,-30008.7,-11703.6
547,18327.8,-30031.4,-11703.6
548,18349.6,-30053.3,-11703.7
549,18370.1,-30073.8,-11703.6
550,18389.7,-30093.2,-11703.5
551,18409.5,-30112.9,-11703.4
552,18431.1,-30134.4,-11703.3
553,18455.5,-30158.9,-11703.3
554,18482.9,-30186.2,-11703.3
555,18513.4,-30216.7,-11703.2
556,18548.5,-30251.6,-11703.1
557,18589.8,-30292.8,-11703
558,18637.9,-30341,-11703.1
559,18693,-30396.1,-11703.1
560,18755.2,-30458.2,-11703
561,18825.9,-30528.8,-11702.9
562,18906.5,-30609.4,-11702.9
563,18998.6,-30701.4,-11702.8
564,19104.5,-30807.2,-11702.6
565,19227.3,-30929.8,-11702.5
566,19370.6,-31073,-11702.4
567,19538.1,-31240.5,-11702.4
568,19736.1,-31437.7,-11701.7
569,19982.1,-31680.8,-11698.7
570,20332.3,-32020.4,-11688.1
571,20978.9,-32628.4,-11649.5
572,21928.5,-33853.9,-11925.4
573,21784.8,-32990.1,-11205.3
574,20844.1,-32111.1,-11266.9
575,20425.4,-31713,-11287.6
576,20190.9,-31484.2,-11293.3
577,20040.4,-31337.7,-11297.3
578,19924.6,-31225.3,-11300.7
579,19808.3,-31110.5,-11302.2
580,19674.9,-30976.2,-11301.3
581,19528.5,-30828,-11299.5
582,19382.9,-30680.8,-11297.9
583,19250.3,-30547.3,-11297
584,19137.2,-30433.9,-11296.7
